 | 1ESOI | ARG   | LCL   | 203   | 2 | 7 | 
 | 1ESOI | ARG   | LCL   | 203   | 3 | 1 | 
 | 2AFI  | ARG   | GRH   | 114   | 3 | 1 | 
 | 2ESOB | ARG   | LCL   | 423   | 3 | 2 | 
 | 1ESOH | ARG   | LCL   | 202   | 3 | 3 | 
 | 1ESOF | ARG   | LIBD1 | 112   | 3 | 5 | 
 | 1ESOG | ARG   | LIBD1 | 112   | 3 | 5 | 
 | 2ESOB | ARG   | LCL   | 423   | 4 | 2 | 
 | 1ESOH | ARG   | LCL   | 202   | 4 | 3 | 
 | 2ESOB | ARG   | LIBD1 | 423   | 4 | 6 | 
 | 2ESOE | ARG   | LIBD1 | 423   | 4 | 6 | 
 | 2GA   | ARG   | TDC   | 100   | 4 | 6 | 
 | 2GA   | ARG   | TDC   | 100   | 4 | 7 | 
 | 2GA   | ARG   | TDC   | 100   | 5 | 1 | 
 | 1ESOH | ARG   | LIBD1 | 408   | 5 | 2 | 
 | 1ESOI | ARG   | LIBD1 | 408   | 5 | 2 | 
 | 2GA   | ARG   | TDC   | 100   | 5 | 2 | 
 | 1ESOH | ARG   | LCL   | 202   | 5 | 3 | 
 | 2AFI  | ARG   | GRH   | 114   | 5 | 3 | 
 | 2ESOB | ARG   | LCL   | 423   | 5 | 5 | 
 | 1ESOI | ARG   | LCL   | 203   | 5 | 7 | 
 | 1BA   | ARM   | EFI   | 5S    | 1 | 2 | 
 | 4ESOA | ARM   | EF    | 5S    | 1 | 5 | 
 | 1ESOC | ARM   | EF    | P-2   | 1 | 7 | 
 | 3ESOD | ARM   | EF    | P-1   | 2 | 2 | 
 | 1ESOG | ARM   | EF    | P-2   | 2 | 3 | 
 | 3ESOG | ARM   | EF    | P-2   | 2 | 5 | 
 | 3ESOF | ARM   | EF    | 5S    | 2 | 6 | 
 | 3ESOE | ARM   | EF    | 5S    | 2 | 7 | 
 | 4ESOA | ARM   | EF    | P-3   | 3 | 2 | 
 | 1ESOF | ARM   | EF    | P-1   | 3 | 3 | 
 | 1ESOC | ARM   | EF    | P-2   | 3 | 6 | 
 | 1BSH  | ARM   | EFI   | 5S    | 3 | 7 | 
 | 1BA   | ARM   | EFI   | P-2   | 4 | 5 | 
 | 3ESOG | ARM   | EF    | 5S    | 4 | 6 | 
 | 3ESOE | ARM   | EF    | P-3   | 4 | 7 | 
 | 1BSH  | ARM   | EFI   | P-3   | 5 | 2 | 
 | 1ESOF | ARM   | EF    | P-1   | 5 | 3 | 
 | 1ESOG | ARM   | EF    | P-2   | 5 | 5 | 
 | 3ESOD | ARM   | EF    | 5S    | 5 | 6 | 
 | 3ESOF | ARM   | EF    | P-2   | 5 | 7 | 
 | 2SMR  | ASA   | SEGIN | 101   | 1 | 6 | 
 | 2SMR  | ASA   | SEGIN | 101   | 1 | 7 | 
 | 2SMR  | ASA   | SEGIN | 101   | 4 | 6 | 
 | 2SMR  | ASA   | SEGIN | 101   | 4 | 7 | 
 | 2SMR  | ASA   | SEGIN | 101   | 5 | 7 | 
 | 3ESOB | BBT   | AMBCM | 524   | 1 | 3 | 
